tarih;deger;birim
2015-01-31;611.232,00;KWH
2015-02-28;615.826,00;KWH
2015-03-31;957.527,00;KWH
2015-04-30;920.036,54;KWH
2015-05-31;928.773,29;KWH
2015-06-30;738.623,36;KWH
2015-07-31;803.861,06;KWH
2015-08-31;948.642,02;KWH
2015-09-30;755.666,52;KWH
2015-10-31;752.889,00;KWH
2015-11-30;795.276,70;KWH
2015-12-31;674.220,53;KWH
2016-01-31;519.189,75;KWH
2016-02-29;471.734,36;KWH
2016-03-31;663.517,23;KWH
2016-04-30;663.109,68;KWH
2016-05-31;693.536,24;KWH
2016-06-30;597.641,51;KWH
2016-07-31;550.308,16;KWH
2016-08-31;474.594,79;KWH
2016-09-30;738.287,50;KWH
2016-10-31;6.196.131,00;KWH
2016-11-30;5.447.826,00;KWH
2016-12-31;8.876.367,00;KWH
2017-01-31;864.165,00;KWH
2017-02-28;697.659,00;KWH
2017-03-31;907.365,00;KWH
2017-04-30;738.304,00;KWH
2017-05-31;724.670,00;KWH
2017-06-30;680.726,00;KWH
2017-07-31;308.717,00;KWH
2017-08-31;697.879,40;KWH
2017-09-30;562.325,50;KWH
2017-10-31;842.588,10;KWH
2017-11-30;988.507,80;KWH
2017-12-31;1.133.366,40;KWH
2018-01-31;582.829,00;KWH
2018-02-28;387.462,00;KWH
2018-03-31;361.152,00;KWH
2018-04-30;308.616,00;KWH
2018-05-31;68.434,00;KWH
