tarih;deger;birim
2004-12-31;0,00;Ton
2005-12-31;4.703,00;Ton
2006-12-31;8.673,00;Ton
2007-12-31;12.649,00;Ton
2008-12-31;8.426,00;Ton
2009-12-31;11.469,00;Ton
2010-12-31;9.343,00;Ton
2011-12-31;12.287,00;Ton
2012-12-31;14.279,00;Ton
2013-01-01;38,00;Ton
2013-02-01;59,45;Ton
2013-03-01;42,35;Ton
2013-04-01;40,15;Ton
2013-05-01;45,95;Ton
2013-06-01;33,05;Ton
2013-07-01;5,90;Ton
2013-08-01;58,00;Ton
2013-09-01;27,75;Ton
2013-10-01;50,30;Ton
2013-11-01;84,90;Ton
2013-12-01;44,75;Ton
2013-01-13;30,90;Ton
2013-01-14;2,70;Ton
2013-01-15;39,85;Ton
2013-01-16;24,50;Ton
2013-01-17;16,95;Ton
2013-01-18;36,65;Ton
2013-01-19;52,55;Ton
2013-01-20;38,85;Ton
2013-01-21;0,00;Ton
2013-01-22;36,80;Ton
2013-01-23;51,50;Ton
2013-01-24;46,55;Ton
2013-01-25;24,55;Ton
2013-01-26;88,45;Ton
2013-01-27;33,15;Ton
2013-01-28;0,00;Ton
2013-01-29;54,35;Ton
2013-01-30;177,00;Ton
2013-01-31;186,10;Ton
2013-01-02;96,70;Ton
2013-02-02;75,95;Ton
2013-03-02;34,00;Ton
2013-04-02;8,65;Ton
2013-05-02;73,30;Ton
2013-06-02;63,50;Ton
2013-07-02;108,35;Ton
2013-08-02;58,70;Ton
2013-09-02;80,35;Ton
2013-10-02;52,30;Ton
2013-11-02;3,45;Ton
2013-12-02;56,15;Ton
2013-02-13;39,35;Ton
2013-02-14;71,70;Ton
2013-02-15;77,60;Ton
2013-02-16;53,50;Ton
2013-02-17;43,75;Ton
2013-02-18;8,75;Ton
2013-02-19;31,75;Ton
2013-02-20;63,00;Ton
2013-02-21;65,65;Ton
2013-02-22;88,80;Ton
2013-02-23;65,55;Ton
2013-02-24;10,35;Ton
2013-02-25;8,60;Ton
2013-02-26;5,80;Ton
2013-02-27;20,70;Ton
2013-02-28;5,85;Ton
2013-01-03;55,95;Ton
2013-02-03;62,95;Ton
2013-03-03;40,65;Ton
2013-04-03;0,00;Ton
2013-05-03;40,25;Ton
2013-06-03;48,45;Ton
2013-07-03;40,05;Ton
2013-08-03;47,15;Ton
2013-09-03;89,45;Ton
2013-10-03;62,55;Ton
2013-11-03;7,60;Ton
2013-12-03;55,55;Ton
2013-03-13;82,30;Ton
2013-03-14;55,10;Ton
2013-03-15;46,70;Ton
2013-03-16;34,35;Ton
2013-03-17;87,35;Ton
2013-03-18;2,05;Ton
2013-03-19;64,50;Ton
2013-03-20;32,90;Ton
2013-03-21;46,60;Ton
2013-03-22;59,75;Ton
2013-03-23;59,85;Ton
2013-03-24;62,30;Ton
2013-03-25;4,15;Ton
2013-03-26;93,70;Ton
2013-03-27;44,20;Ton
2013-03-28;57,45;Ton
2013-03-29;54,30;Ton
2013-03-30;58,85;Ton
2013-03-31;45,45;Ton
2013-01-04;15,85;Ton
2013-02-04;56,45;Ton
2013-03-04;54,80;Ton
2013-04-04;37,90;Ton
2013-05-04;64,35;Ton
2013-06-04;46,90;Ton
2013-07-04;59,05;Ton
2013-08-04;2,85;Ton
2013-09-04;53,30;Ton
2013-10-04;60,20;Ton
2013-11-04;45,75;Ton
2013-12-04;30,85;Ton
2013-04-13;53,05;Ton
2013-04-14;79,75;Ton
2013-04-15;2,10;Ton
2013-04-16;73,05;Ton
2013-04-17;32,70;Ton
2013-04-18;38,20;Ton
2013-04-19;49,05;Ton
2013-04-20;44,20;Ton
2013-04-21;52,00;Ton
2013-04-22;3,85;Ton
2013-04-23;58,20;Ton
2013-04-24;69,25;Ton
2013-04-25;350,95;Ton
2013-04-26;187,95;Ton
2013-04-27;611,65;Ton
2013-04-28;58,05;Ton
2013-04-29;266,45;Ton
2013-04-30;85,65;Ton
2013-01-05;49,20;Ton
2013-02-05;78,90;Ton
2013-03-05;60,55;Ton
2013-04-05;17,95;Ton
2013-05-05;109,50;Ton
2013-06-05;4,40;Ton
2013-07-05;150,95;Ton
2013-08-05;80,10;Ton
2013-09-05;37,30;Ton
2013-10-05;94,05;Ton
2013-11-05;60,55;Ton
2013-12-05;78,35;Ton
2013-05-13;1,40;Ton
2013-05-14;168,00;Ton
2013-05-15;79,60;Ton
2013-05-16;85,25;Ton
2013-05-17;82,05;Ton
2013-05-18;85,30;Ton
2013-05-19;36,05;Ton
2013-05-20;167,25;Ton
2013-05-21;178,65;Ton
2013-05-22;38,40;Ton
2013-05-23;46,10;Ton
2013-05-24;83,80;Ton
2013-05-25;152,65;Ton
2013-05-26;130,55;Ton
2013-05-27;23,45;Ton
2013-05-28;133,15;Ton
2013-05-29;63,40;Ton
2013-05-30;72,25;Ton
2013-05-31;54,40;Ton
2013-01-06;56,00;Ton
2013-02-06;62,90;Ton
2013-03-06;83,75;Ton
2013-04-06;53,00;Ton
2013-05-06;29,70;Ton
2013-06-06;93,95;Ton
2013-07-06;50,40;Ton
2013-08-06;121,85;Ton
2013-09-06;116,90;Ton
2013-10-06;1,45;Ton
2013-11-06;57,10;Ton
2013-12-06;55,35;Ton
2013-06-13;69,85;Ton
2013-06-14;210,90;Ton
2013-06-15;82,00;Ton
2013-06-16;204,25;Ton
2013-06-17;6,80;Ton
2013-06-18;40,85;Ton
2013-06-19;33,00;Ton
2013-06-20;93,70;Ton
2013-06-21;67,35;Ton
2013-06-22;82,25;Ton
2013-06-23;84,70;Ton
2013-06-24;10,05;Ton
2013-06-25;123,20;Ton
2013-06-26;63,65;Ton
2013-06-27;153,70;Ton
2013-06-28;105,40;Ton
2013-06-29;163,65;Ton
2013-06-30;110,80;Ton
2013-01-07;35,70;Ton
2013-02-07;58,80;Ton
2013-03-07;83,30;Ton
2013-04-07;38,95;Ton
2013-05-07;59,30;Ton
2013-06-07;90,50;Ton
2013-07-07;67,25;Ton
2013-08-07;45,95;Ton
2013-09-07;188,70;Ton
2013-10-07;297,45;Ton
2013-11-07;319,65;Ton
2013-12-07;200,00;Ton
2013-07-13;252,05;Ton
2013-07-14;156,10;Ton
2013-07-15;22,65;Ton
2013-07-16;76,30;Ton
2013-07-17;84,45;Ton
2013-07-18;74,05;Ton
2013-07-19;76,20;Ton
2013-07-20;60,95;Ton
2013-07-21;58,10;Ton
2013-07-22;22,50;Ton
2013-07-23;116,10;Ton
2013-07-24;108,75;Ton
2013-07-25;70,95;Ton
2013-07-26;109,20;Ton
2013-07-27;43,65;Ton
2013-07-28;171,85;Ton
2013-07-29;135,50;Ton
2013-07-30;178,05;Ton
2013-07-31;166,90;Ton
2013-01-08;51,05;Ton
2013-02-08;68,45;Ton
2013-03-08;73,15;Ton
2013-04-08;1,95;Ton
2013-05-08;69,40;Ton
2013-06-08;95,60;Ton
2013-07-08;75,15;Ton
2013-08-08;7,05;Ton
2013-09-08;28,45;Ton
2013-10-08;0,00;Ton
2013-11-08;8,15;Ton
2013-12-08;60,05;Ton
2013-08-13;69,10;Ton
2013-08-14;108,70;Ton
2013-08-15;94,40;Ton
2013-08-16;95,00;Ton
2013-08-17;133,25;Ton
2013-08-18;10,50;Ton
2013-08-19;79,85;Ton
2013-08-20;24,35;Ton
2013-08-21;77,45;Ton
2013-08-22;98,35;Ton
2013-08-23;171,30;Ton
2013-08-24;89,00;Ton
2013-08-25;0,00;Ton
2013-08-26;179,10;Ton
2013-08-27;110,90;Ton
2013-08-28;49,60;Ton
2013-08-29;71,35;Ton
2013-08-30;73,30;Ton
2013-08-31;46,00;Ton
2013-01-09;0,15;Ton
2013-02-09;70,65;Ton
2013-03-09;259,15;Ton
2013-04-09;203,55;Ton
2013-05-09;114,00;Ton
2013-06-09;104,70;Ton
2013-07-09;122,15;Ton
2013-08-09;5,55;Ton
2013-09-09;105,65;Ton
2013-10-09;73,75;Ton
2013-11-09;119,50;Ton
2013-12-09;62,65;Ton
2013-09-13;84,40;Ton
2013-09-14;76,00;Ton
2013-09-15;9,90;Ton
2013-09-16;119,50;Ton
2013-09-17;96,95;Ton
2013-09-18;75,25;Ton
2013-09-19;62,80;Ton
2013-09-20;43,30;Ton
2013-09-21;86,40;Ton
2013-09-22;25,25;Ton
2013-09-23;64,75;Ton
2013-09-24;62,50;Ton
2013-09-25;106,05;Ton
2013-09-26;175,15;Ton
2013-09-27;177,75;Ton
2013-09-28;58,85;Ton
2013-09-29;0,00;Ton
2013-09-30;78,80;Ton
2013-01-10;74,00;Ton
2013-02-10;91,40;Ton
2013-03-10;49,45;Ton
2013-04-10;81,70;Ton
2013-05-10;76,45;Ton
2013-06-10;9,00;Ton
2013-07-10;98,00;Ton
2013-08-10;37,20;Ton
2013-09-10;40,45;Ton
2013-10-10;78,55;Ton
2013-11-10;94,35;Ton
2013-12-10;86,10;Ton
2013-10-13;7,05;Ton
2013-10-14;20,75;Ton
2013-10-15;0,00;Ton
2013-10-16;9,50;Ton
2013-10-17;10,45;Ton
2013-10-18;10,10;Ton
2013-10-19;56,00;Ton
2013-10-20;4,25;Ton
2013-10-21;59,50;Ton
2013-10-22;60,95;Ton
2013-10-23;114,20;Ton
2013-10-24;87,15;Ton
2013-10-25;32,65;Ton
2013-10-26;86,10;Ton
2013-10-27;3,80;Ton
2013-10-28;82,75;Ton
2013-10-29;68,30;Ton
2013-10-30;74,10;Ton
2013-10-31;73,90;Ton
2013-01-11;67,25;Ton
2013-02-11;66,35;Ton
2013-03-11;0,00;Ton
2013-04-11;141,45;Ton
2013-05-11;255,55;Ton
2013-06-11;92,65;Ton
2013-07-11;192,80;Ton
2013-08-11;84,65;Ton
2013-09-11;69,10;Ton
2013-10-11;13,00;Ton
2013-11-11;80,05;Ton
2013-12-11;164,70;Ton
2013-11-13;85,35;Ton
2013-11-14;63,80;Ton
2013-11-15;53,95;Ton
2013-11-16;73,95;Ton
2013-11-17;88,40;Ton
2013-11-18;67,00;Ton
2013-11-19;117,35;Ton
2013-11-20;89,90;Ton
2013-11-21;156,90;Ton
2013-11-22;65,55;Ton
2013-11-23;89,90;Ton
2013-11-24;6,25;Ton
2013-11-25;62,65;Ton
2013-11-26;61,65;Ton
2013-11-27;90,60;Ton
2013-11-28;90,60;Ton
2013-11-29;70,50;Ton
2013-11-30;63,25;Ton
2013-01-12;27,90;Ton
2013-02-12;111,30;Ton
2013-03-12;114,05;Ton
2013-04-12;51,60;Ton
2013-05-12;48,35;Ton
2013-06-12;53,15;Ton
2013-07-12;41,55;Ton
2013-08-12;3,85;Ton
2013-09-12;30,40;Ton
2013-10-12;39,40;Ton
2013-11-12;53,85;Ton
2013-12-12;47,35;Ton
2013-12-13;61,15;Ton
2013-12-14;58,90;Ton
2013-12-15;0,80;Ton
2013-12-16;75,75;Ton
2013-12-17;64,60;Ton
2013-12-18;42,25;Ton
2013-12-19;55,55;Ton
2013-12-20;69,55;Ton
2013-12-21;32,75;Ton
2013-12-22;0,00;Ton
2013-12-23;101,80;Ton
2013-12-24;55,65;Ton
2013-12-25;42,25;Ton
2013-12-26;43,60;Ton
2013-12-27;38,95;Ton
2013-12-28;36,20;Ton
2013-12-29;8,20;Ton
2013-12-30;69,85;Ton
2013-12-31;66,40;Ton
2014-01-01;58,20;Ton
2014-02-01;42,70;Ton
2014-03-01;33,15;Ton
2014-04-01;44,25;Ton
2014-05-01;16,80;Ton
2014-06-01;79,15;Ton
2014-07-01;87,20;Ton
2014-08-01;30,70;Ton
2014-09-01;43,75;Ton
2014-10-01;57,80;Ton
2014-11-01;42,30;Ton
2014-12-01;0,00;Ton
2014-01-13;68,20;Ton
2014-01-14;82,70;Ton
2014-01-15;73,90;Ton
2014-01-16;81,90;Ton
2014-01-17;46,80;Ton
2014-01-18;40,80;Ton
2014-01-19;0,00;Ton
2014-01-20;50,75;Ton
2014-01-21;96,65;Ton
2014-01-22;45,90;Ton
2014-01-23;123,90;Ton
2014-01-24;34,75;Ton
2014-01-25;48,05;Ton
2014-01-26;0,00;Ton
2014-01-27;59,40;Ton
2014-01-28;36,70;Ton
2014-01-29;53,25;Ton
2014-01-30;62,30;Ton
2014-01-31;99,35;Ton
2014-01-02;33,20;Ton
2014-02-02;0,00;Ton
2014-03-02;121,90;Ton
2014-04-02;109,75;Ton
2014-05-02;50,30;Ton
2014-06-02;76,00;Ton
2014-07-02;30,95;Ton
2014-08-02;50,35;Ton
2014-09-02;4,20;Ton
2014-10-02;117,15;Ton
2014-11-02;154,65;Ton
2014-12-02;99,10;Ton
2014-02-13;80,65;Ton
2014-02-14;154,75;Ton
2014-02-15;41,45;Ton
2014-02-16;0,00;Ton
2014-02-17;197,10;Ton
2014-02-18;77,25;Ton
2014-02-19;69,10;Ton
2014-02-20;54,85;Ton
2014-02-21;40,40;Ton
2014-02-22;50,85;Ton
2014-02-23;6,65;Ton
2014-02-24;47,95;Ton
2014-02-25;69,05;Ton
2014-02-26;157,65;Ton
2014-02-27;92,65;Ton
2014-02-28;59,55;Ton
2014-01-03;74,45;Ton
2014-02-03;9,95;Ton
2014-03-03;49,60;Ton
2014-04-03;58,60;Ton
2014-05-03;79,75;Ton
2014-06-03;46,60;Ton
2014-07-03;66,75;Ton
2014-08-03;58,30;Ton
2014-09-03;20,30;Ton
2014-10-03;39,40;Ton
2014-11-03;76,15;Ton
2014-12-03;54,70;Ton
2014-03-13;61,65;Ton
2014-03-14;40,60;Ton
2014-03-15;136,30;Ton
2014-03-16;67,20;Ton
2014-03-17;73,50;Ton
2014-03-18;133,70;Ton
2014-03-19;133,20;Ton
2014-03-20;104,75;Ton
2014-03-21;93,60;Ton
2014-03-22;87,50;Ton
2014-03-23;84,05;Ton
2014-03-24;103,45;Ton
2014-03-25;51,25;Ton
2014-03-26;106,60;Ton
2014-03-27;87,65;Ton
2014-03-28;125,10;Ton
2014-03-29;106,75;Ton
2014-03-30;7,10;Ton
2014-03-31;106,90;Ton
2014-01-04;76,50;Ton
2014-02-04;56,90;Ton
2014-03-04;87,75;Ton
2014-04-04;73,80;Ton
2014-05-04;40,00;Ton
2014-06-04;15,90;Ton
2014-07-04;67,45;Ton
2014-08-04;75,85;Ton
2014-09-04;125,05;Ton
2014-10-04;68,40;Ton
2014-11-04;29,65;Ton
2014-12-04;46,30;Ton
2014-04-13;3,00;Ton
2014-04-14;64,30;Ton
2014-04-15;98,15;Ton
2014-04-16;103,60;Ton
2014-04-17;82,25;Ton
2014-04-18;45,60;Ton
2014-04-19;52,20;Ton
2014-04-20;14,00;Ton
2014-04-21;143,90;Ton
2014-04-22;110,30;Ton
2014-04-23;38,75;Ton
2014-04-24;109,05;Ton
2014-04-25;83,20;Ton
2014-04-26;47,75;Ton
2014-04-27;5,80;Ton
2014-04-28;88,15;Ton
2014-04-29;80,10;Ton
2014-04-30;80,75;Ton
2014-01-05;54,40;Ton
2014-02-05;102,95;Ton
2014-03-05;39,50;Ton
2014-04-05;91,30;Ton
2014-05-05;60,70;Ton
2014-06-05;81,10;Ton
2014-07-05;65,95;Ton
2014-08-05;150,00;Ton
2014-09-05;128,30;Ton
2014-10-05;150,50;Ton
2014-11-05;18,30;Ton
2014-12-05;137,55;Ton
2014-05-13;192,80;Ton
2014-05-14;107,55;Ton
2014-05-15;101,75;Ton
2014-05-16;118,35;Ton
2014-05-17;111,20;Ton
2014-05-18;14,60;Ton
2014-05-19;43,35;Ton
2014-05-20;181,75;Ton
2014-05-21;126,90;Ton
2014-05-22;113,90;Ton
2014-05-23;70,20;Ton
2014-05-24;79,55;Ton
2014-05-25;7,60;Ton
2014-05-26;68,25;Ton
2014-05-27;69,80;Ton
2014-05-28;76,15;Ton
2014-05-29;122,80;Ton
2014-05-30;57,55;Ton
2014-05-31;89,25;Ton
2014-01-06;33,80;Ton
2014-02-06;162,70;Ton
2014-03-06;96,70;Ton
2014-04-06;83,95;Ton
2014-05-06;110,00;Ton
2014-06-06;193,05;Ton
2014-07-06;97,10;Ton
2014-08-06;24,50;Ton
2014-09-06;212,60;Ton
2014-10-06;88,35;Ton
2014-11-06;93,95;Ton
2014-12-06;52,55;Ton
2014-06-13;133,50;Ton
2014-06-14;53,45;Ton
2014-06-15;13,90;Ton
2014-06-16;54,80;Ton
2014-06-17;99,30;Ton
2014-06-18;88,70;Ton
2014-06-19;84,25;Ton
2014-06-20;42,70;Ton
2014-06-21;45,10;Ton
2014-06-22;58,25;Ton
2014-06-23;88,55;Ton
2014-06-24;94,40;Ton
2014-06-25;103,75;Ton
2014-06-26;113,00;Ton
2014-06-27;79,85;Ton
2014-06-28;26,90;Ton
2014-06-29;1,25;Ton
2014-06-30;107,30;Ton
2014-01-07;36,45;Ton
2014-02-07;45,30;Ton
2014-03-07;47,45;Ton
2014-04-07;60,15;Ton
2014-05-07;26,40;Ton
2014-06-07;13,10;Ton
2014-07-07;32,55;Ton
2014-08-07;76,30;Ton
2014-09-07;48,55;Ton
2014-10-07;120,20;Ton
2014-11-07;44,75;Ton
2014-12-07;41,50;Ton
2014-07-13;12,50;Ton
2014-07-14;87,05;Ton
2014-07-15;62,25;Ton
2014-07-16;47,30;Ton
2014-07-17;40,50;Ton
2014-07-18;48,65;Ton
2014-07-19;30,05;Ton
2014-07-20;4,20;Ton
2014-07-21;45,40;Ton
2014-07-22;63,30;Ton
2014-07-23;66,00;Ton
2014-07-24;53,45;Ton
2014-07-25;93,85;Ton
2014-07-26;90,45;Ton
2014-07-27;14,50;Ton
2014-07-28;0,00;Ton
2014-07-29;0,00;Ton
2014-07-30;0,00;Ton
2014-07-31;30,85;Ton
2014-01-08;56,35;Ton
2014-02-08;107,10;Ton
2014-03-08;24,50;Ton
2014-04-08;33,10;Ton
2014-05-08;52,50;Ton
2014-06-08;74,75;Ton
2014-07-08;53,15;Ton
2014-08-08;75,10;Ton
2014-09-08;70,00;Ton
2014-10-08;29,15;Ton
2014-11-08;114,65;Ton
2014-12-08;71,65;Ton
2014-08-13;72,70;Ton
2014-08-14;47,00;Ton
2014-08-15;88,45;Ton
2014-08-16;39,10;Ton
2014-08-17;3,30;Ton
2014-08-18;52,60;Ton
2014-08-19;80,95;Ton
2014-08-20;70,65;Ton
2014-08-21;57,45;Ton
2014-08-22;113,20;Ton
2014-08-23;34,05;Ton
2014-08-24;17,25;Ton
2014-08-25;66,40;Ton
2014-08-26;96,70;Ton
2014-08-27;48,50;Ton
2014-08-28;191,40;Ton
2014-08-29;68,65;Ton
2014-08-30;77,20;Ton
2014-08-31;3,30;Ton
2014-01-09;44,30;Ton
2014-02-09;159,95;Ton
2014-03-09;169,75;Ton
2014-04-09;68,65;Ton
2014-05-09;76,60;Ton
2014-06-09;117,90;Ton
2014-07-09;11,30;Ton
2014-08-09;43,90;Ton
2014-09-09;80,40;Ton
2014-10-09;78,00;Ton
2014-11-09;92,15;Ton
2014-12-09;85,25;Ton
2014-09-13;48,35;Ton
2014-09-14;14,20;Ton
2014-09-15;78,15;Ton
2014-09-16;71,10;Ton
2014-09-17;97,10;Ton
2014-09-18;83,35;Ton
2014-09-19;86,70;Ton
2014-09-20;95,55;Ton
2014-09-21;12,75;Ton
2014-09-22;86,90;Ton
2014-09-23;83,55;Ton
2014-09-24;59,60;Ton
2014-09-25;69,70;Ton
2014-09-26;104,75;Ton
2014-09-27;38,55;Ton
2014-09-28;2,30;Ton
2014-09-29;67,40;Ton
2014-09-30;104,95;Ton
2014-01-10;133,80;Ton
2014-02-10;90,50;Ton
2014-03-10;40,50;Ton
