tarih,toplanan atik miktari (Ton)
2013-01-01,38
2013-02-01,59
2013-03-01,42
2013-04-01,40
2013-05-01,45
2013-06-01,33
2013-07-01,5
2013-08-01,58
2013-09-01,27
2013-10-01,50
2013-11-01,84
2013-12-01,44
2013-01-13,30
2013-01-14,2
2013-01-15,39
2013-01-16,24
2013-01-17,16
2013-01-18,36
2013-01-19,52
2013-01-20,38
2013-01-21,0
2013-01-22,36
2013-01-23,51
2013-01-24,46
2013-01-25,24
2013-01-26,88
2013-01-27,33
2013-01-28,0
2013-01-29,54
2013-01-30,177
2013-01-31,186
2013-01-02,96
2013-02-02,75
2013-03-02,34
2013-04-02,8
2013-05-02,73
2013-06-02,63
2013-07-02,108
2013-08-02,58
2013-09-02,80
2013-10-02,52
2013-11-02,3
2013-12-02,56
2013-02-13,39
2013-02-14,71
2013-02-15,77
2013-02-16,53
2013-02-17,43
2013-02-18,8
2013-02-19,31
2013-02-20,63
2013-02-21,65
2013-02-22,88
2013-02-23,65
2013-02-24,10
2013-02-25,8
2013-02-26,5
2013-02-27,20
2013-02-28,5
2013-01-03,55
2013-02-03,62
2013-03-03,40
2013-04-03,0
2013-05-03,40
2013-06-03,48
2013-07-03,40
2013-08-03,47
2013-09-03,89
2013-10-03,62
2013-11-03,7
2013-12-03,55
2013-03-13,82
2013-03-14,55
2013-03-15,46
2013-03-16,34
2013-03-17,87
2013-03-18,2
2013-03-19,64
2013-03-20,32
2013-03-21,46
2013-03-22,59
2013-03-23,59
2013-03-24,62
2013-03-25,4
2013-03-26,93
2013-03-27,44
2013-03-28,57
2013-03-29,54
2013-03-30,58
2013-03-31,45
2013-01-04,15
2013-02-04,56
2013-03-04,54
2013-04-04,37
2013-05-04,64
2013-06-04,46
2013-07-04,59
2013-08-04,2
2013-09-04,53
2013-10-04,60
2013-11-04,45
2013-12-04,30
2013-04-13,53
2013-04-14,79
2013-04-15,2
2013-04-16,73
2013-04-17,32
2013-04-18,38
2013-04-19,49
2013-04-20,44
2013-04-21,52
2013-04-22,3
2013-04-23,58
2013-04-24,69
2013-04-25,350
2013-04-26,187
2013-04-27,611
2013-04-28,58
2013-04-29,266
2013-04-30,85
2013-01-05,49
2013-02-05,78
2013-03-05,60
2013-04-05,17
2013-05-05,109
2013-06-05,4
2013-07-05,150
2013-08-05,80
2013-09-05,37
2013-10-05,94
2013-11-05,60
2013-12-05,78
2013-05-13,1
2013-05-14,168
2013-05-15,79
2013-05-16,85
2013-05-17,82
2013-05-18,85
2013-05-19,36
2013-05-20,167
2013-05-21,178
2013-05-22,38
2013-05-23,46
2013-05-24,83
2013-05-25,152
2013-05-26,130
2013-05-27,23
2013-05-28,133
2013-05-29,63
2013-05-30,72
2013-05-31,54
2013-01-06,56
2013-02-06,62
2013-03-06,83
2013-04-06,53
2013-05-06,29
2013-06-06,93
2013-07-06,50
2013-08-06,121
2013-09-06,116
2013-10-06,1
2013-11-06,57
2013-12-06,55
2013-06-13,69
2013-06-14,210
2013-06-15,82
2013-06-16,204
2013-06-17,6
2013-06-18,40
2013-06-19,33
2013-06-20,93
2013-06-21,67
2013-06-22,82
2013-06-23,84
2013-06-24,10
2013-06-25,123
2013-06-26,63
2013-06-27,153
2013-06-28,105
2013-06-29,163
2013-06-30,110
2013-01-07,35
2013-02-07,58
2013-03-07,83
2013-04-07,38
2013-05-07,59
2013-06-07,90
2013-07-07,67
2013-08-07,45
2013-09-07,188
2013-10-07,297
2013-11-07,319
2013-12-07,200
2013-07-13,252
2013-07-14,156
2013-07-15,22
2013-07-16,76
2013-07-17,84
2013-07-18,74
2013-07-19,76
2013-07-20,60
2013-07-21,58
2013-07-22,22
2013-07-23,116
2013-07-24,108
2013-07-25,70
2013-07-26,109
2013-07-27,43
2013-07-28,171
2013-07-29,135
2013-07-30,178
2013-07-31,166
2013-01-08,51
2013-02-08,68
2013-03-08,73
2013-04-08,1
2013-05-08,69
2013-06-08,95
2013-07-08,75
2013-08-08,7
2013-09-08,28
2013-10-08,0
2013-11-08,8
2013-12-08,60
2013-08-13,69
2013-08-14,108
2013-08-15,94
2013-08-16,95
2013-08-17,133
2013-08-18,10
2013-08-19,79
2013-08-20,24
2013-08-21,77
2013-08-22,98
2013-08-23,171
2013-08-24,89
2013-08-25,0
2013-08-26,179
2013-08-27,110
2013-08-28,49
2013-08-29,71
2013-08-30,73
2013-08-31,46
2013-01-09,0
2013-02-09,70
2013-03-09,259
2013-04-09,203
2013-05-09,114
2013-06-09,104
2013-07-09,122
2013-08-09,5
2013-09-09,105
2013-10-09,73
2013-11-09,119
2013-12-09,62
2013-09-13,84
2013-09-14,76
2013-09-15,9
2013-09-16,119
2013-09-17,96
2013-09-18,75
2013-09-19,62
2013-09-20,43
2013-09-21,86
2013-09-22,25
2013-09-23,64
2013-09-24,62
2013-09-25,106
2013-09-26,175
2013-09-27,177
2013-09-28,58
2013-09-29,0
2013-09-30,78
2013-01-10,74
2013-02-10,91
2013-03-10,49
2013-04-10,81
2013-05-10,76
2013-06-10,9
2013-07-10,98
2013-08-10,37
2013-09-10,40
2013-10-10,78
2013-11-10,94
2013-12-10,86
2013-10-13,7
2013-10-14,20
2013-10-15,0
2013-10-16,9
2013-10-17,10
2013-10-18,10
2013-10-19,56
2013-10-20,4
2013-10-21,59
2013-10-22,60
2013-10-23,114
2013-10-24,87
2013-10-25,32
2013-10-26,86
2013-10-27,3
2013-10-28,82
2013-10-29,68
2013-10-30,74
2013-10-31,73
2013-01-11,67
2013-02-11,66
2013-03-11,0
2013-04-11,141
2013-05-11,255
2013-06-11,92
2013-07-11,192
2013-08-11,84
2013-09-11,69
2013-10-11,13
2013-11-11,80
2013-12-11,164
2013-11-13,85
2013-11-14,63
2013-11-15,53
