emekli_lokali_adi,enlem,boylam,aylik_yararlanici_sayisi,yillik_yararlanici_sayisi,icecek_hizmeti_cay_vb,gazete_hizmeti,televizyon_hizmeti
Akıncılar Emekliler Lokali,37.90230,32.46603,2400,28000,var,var,var
Akşemsettin Emekli Lokali,37.89372,32.45704,380,4500,var,var,var
Dumlupınar Emekliler Lokali,37.98551,32.63788,1680,20000,var,var,var
Esenler Emekliler Lokali,37.89446,32.47191,2050,24500,var,var,var
Fatih Emekli Lokali,37.89809,32.49179,400,4800,var,var,var
Gazalya Hatun Mahalle Konağı Emekli̇ler Lokali̇,37.94559,32.50000,2200,26400,var,var,var
Gevher Hatun Emekli̇ Lokali̇,37.90716,32.46380,480,5760,var,var,var
Kosova Emekli̇ Lokali̇,37.97655,32.52347,1900,22800,var,var,var
Mahperi̇ Hatun Emekli̇ Lokali̇,37.89296,32.48650,400,4800,var,var,var
Mehmet Akif Emekli Lokali,37.90761,32.47597,2100,25900,var,var,var
Musalla Bağları Emekli Lokali,37.89214,32.49967,720,8600,var,var,var
Sakarya Emekliler Lokali,37.91626,32.50089,1440,17280,var,var,var
Selçuki Hatun Emekliler Lokali,37.95875,32.52459,600,7200,var,var,var
Yazır Emekliler Lokali,37.96022,32.50191,1920,25000,var,var,var
Malazgirt Emekliler Lokali,37.93247,32.49936,400,4800,var,var,var
Beyhekim Emekliler Lokali,37.98445,32.49356,360,4320,var,var,var
Buhara Emekliler Lokali,37.93556,32.49204,700,8500,var,var,var
