tarih;deger;birim
31.12.2011;6,649,710.00;KWH
31.12.2012;35,336,350.00;KWH
31.01.2013;3,318,590.00;KWH
28.02.2013;3,560,870.00;KWH
31.03.2013;3,933,510.00;KWH
30.04.2013;3,565,440.00;KWH
31.05.2013;3,540,570.00;KWH
30.06.2013;3,664,980.00;KWH
31.07.2013;3,418,880.00;KWH
31.08.2013;3,717,630.00;KWH
30.09.2013;3,494,830.00;KWH
31.10.2013;3,748,600.00;KWH
30.11.2013;3,592,790.00;KWH
31.12.2013;3,630,260.00;KWH
31.01.2014;3,521,607.00;KWH
28.02.2014;3,254,024.00;KWH
31.03.2014;3,806,078.00;KWH
30.04.2014;3,739,163.00;KWH
31.05.2014;3,752,807.00;KWH
30.06.2014;3,393,919.00;KWH
31.07.2014;3,310,111.00;KWH
31.08.2014;3,209,762.00;KWH
30.09.2014;2,998,141.00;KWH
31.10.2014;3,522,822.00;KWH
30.11.2014;3,118,448.00;KWH
31.12.2014;3,469,354.00;KWH
31.01.2015;3,654,516.00;KWH
28.02.2015;3,388,348.00;KWH
31.03.2015;3,526,123.00;KWH
30.04.2015;3,251,316.00;KWH
31.05.2015;3,040,637.00;KWH
30.06.2015;3,512,409.00;KWH
31.07.2015;3,924,677.00;KWH
31.08.2015;3,957,556.00;KWH
30.09.2015;3,755,894.00;KWH
31.10.2015;3,980,620.00;KWH
30.11.2015;3,608,146.00;KWH
31.12.2015;3,632,001.00;KWH
31.01.2016;3,961,203.00;KWH
29.02.2016;3,645,830.00;KWH
31.03.2016;3,947,694.00;KWH
30.04.2016;3,675,201.00;KWH
31.05.2016;3,929,520.00;KWH
30.06.2016;3,692,970.00;KWH
31.07.2016;3,864,480.00;KWH
31.08.2016;3,700,660.00;KWH
30.09.2016;3,836,320.00;KWH
31.10.2016;3,759,240.00;KWH
30.11.2016;3,785,050.00;KWH
31.12.2016;3,850,390.00;KWH
31.01.2017;3,724,440.00;KWH
28.02.2017;3,502,450.00;KWH
31.03.2017;3,658,880.00;KWH
30.04.2017;3,800,000.00;KWH
31.05.2017;3,558,000.00;KWH
30.06.2017;3,677,850.00;KWH
31.07.2017;3,710,300.00;KWH
31.08.2017;3,457,420.00;KWH
30.09.2017;3,333,030.00;KWH
31.10.2017;3,955,380.00;KWH
30.11.2017;3,802,610.00;KWH
31.12.2017;3,903,160.00;KWH
