tarih;deger;birim
2004-12-31;0,00;Ton
2005-12-31;46.585,00;Ton
2006-12-31;86.853,00;Ton
2007-12-31;87.833,00;Ton
2008-12-31;88.355,00;Ton
2009-12-31;90.128,00;Ton
2010-12-31;95.224,00;Ton
2011-12-31;101.952,00;Ton
2012-12-31;111.035,00;Ton
2013-01-01;430,20;Ton
2013-02-01;370,15;Ton
2013-03-01;325,00;Ton
2013-04-01;337,30;Ton
2013-05-01;320,95;Ton
2013-06-01;307,25;Ton
2013-07-01;184,60;Ton
2013-08-01;386,75;Ton
2013-09-01;374,05;Ton
2013-10-01;376,85;Ton
2013-11-01;318,65;Ton
2013-12-01;316,75;Ton
2013-01-13;349,25;Ton
2013-01-14;193,75;Ton
2013-01-15;389,00;Ton
2013-01-16;336,75;Ton
2013-01-17;283,70;Ton
2013-01-18;285,25;Ton
2013-01-19;265,50;Ton
2013-01-20;308,80;Ton
2013-01-21;200,95;Ton
2013-01-22;403,35;Ton
2013-01-23;326,15;Ton
2013-01-24;342,70;Ton
2013-01-25;320,80;Ton
2013-01-26;297,70;Ton
2013-01-27;263,05;Ton
2013-01-28;198,80;Ton
2013-01-29;432,35;Ton
2013-01-30;218,85;Ton
2013-01-31;206,50;Ton
2013-01-02;319,10;Ton
2013-02-02;278,20;Ton
2013-03-02;296,85;Ton
2013-04-02;172,55;Ton
2013-05-02;355,80;Ton
2013-06-02;305,55;Ton
2013-07-02;361,85;Ton
2013-08-02;326,05;Ton
2013-09-02;298,80;Ton
2013-10-02;305,25;Ton
2013-11-02;188,15;Ton
2013-12-02;358,95;Ton
2013-02-13;391,50;Ton
2013-02-14;363,20;Ton
2013-02-15;313,35;Ton
2013-02-16;280,50;Ton
2013-02-17;291,35;Ton
2013-02-18;161,60;Ton
2013-02-19;400,50;Ton
2013-02-20;379,40;Ton
2013-02-21;326,50;Ton
2013-02-22;345,30;Ton
2013-02-23;313,35;Ton
2013-02-24;310,15;Ton
2013-02-25;356,00;Ton
2013-02-26;376,50;Ton
2013-02-27;457,55;Ton
2013-02-28;245,75;Ton
2013-01-03;361,25;Ton
2013-02-03;302,70;Ton
2013-03-03;325,65;Ton
2013-04-03;154,60;Ton
2013-05-03;420,95;Ton
2013-06-03;399,25;Ton
2013-07-03;323,55;Ton
2013-08-03;320,10;Ton
2013-09-03;284,15;Ton
2013-10-03;319,55;Ton
2013-11-03;188,45;Ton
2013-12-03;372,80;Ton
2013-03-13;340,65;Ton
2013-03-14;312,80;Ton
2013-03-15;369,65;Ton
2013-03-16;286,50;Ton
2013-03-17;304,05;Ton
2013-03-18;165,35;Ton
2013-03-19;369,10;Ton
2013-03-20;316,05;Ton
2013-03-21;357,80;Ton
2013-03-22;330,00;Ton
2013-03-23;316,50;Ton
2013-03-24;319,60;Ton
2013-03-25;176,05;Ton
2013-03-26;368,55;Ton
2013-03-27;327,35;Ton
2013-03-28;331,65;Ton
2013-03-29;245,10;Ton
2013-03-30;125,15;Ton
2013-03-31;295,10;Ton
2013-01-04;169,70;Ton
2013-02-04;372,40;Ton
2013-03-04;341,70;Ton
2013-04-04;325,20;Ton
2013-05-04;310,10;Ton
2013-06-04;302,30;Ton
2013-07-04;297,15;Ton
2013-08-04;209,60;Ton
2013-09-04;363,50;Ton
2013-10-04;365,50;Ton
2013-11-04;344,40;Ton
2013-12-04;301,55;Ton
2013-04-13;316,85;Ton
2013-04-14;344,90;Ton
2013-04-15;176,00;Ton
2013-04-16;367,30;Ton
