tarih,toplanan atik miktari (Ton)
2013-01-01,430
2013-02-01,370
2013-03-01,325
2013-04-01,337
2013-05-01,320
2013-06-01,307
2013-07-01,184
2013-08-01,386
2013-09-01,374
2013-10-01,376
2013-11-01,318
2013-12-01,316
2013-01-13,349
2013-01-14,193
2013-01-15,389
2013-01-16,336
2013-01-17,283
2013-01-18,285
2013-01-19,265
2013-01-20,308
2013-01-21,200
2013-01-22,403
2013-01-23,326
2013-01-24,342
2013-01-25,320
2013-01-26,297
2013-01-27,263
2013-01-28,198
2013-01-29,432
2013-01-30,218
2013-01-31,206
2013-01-02,319
2013-02-02,278
2013-03-02,296
2013-04-02,172
2013-05-02,355
2013-06-02,305
2013-07-02,361
2013-08-02,326
2013-09-02,298
2013-10-02,305
2013-11-02,188
2013-12-02,358
2013-02-13,391
2013-02-14,363
2013-02-15,313
2013-02-16,280
2013-02-17,291
2013-02-18,161
2013-02-19,400
2013-02-20,379
2013-02-21,326
2013-02-22,345
2013-02-23,313
2013-02-24,310
2013-02-25,356
2013-02-26,376
2013-02-27,457
2013-02-28,245
2013-01-03,361
2013-02-03,302
2013-03-03,325
2013-04-03,154
2013-05-03,420
2013-06-03,399
2013-07-03,323
2013-08-03,320
2013-09-03,284
2013-10-03,319
2013-11-03,188
2013-12-03,372
2013-03-13,340
2013-03-14,312
2013-03-15,369
2013-03-16,286
2013-03-17,304
2013-03-18,165
2013-03-19,369
2013-03-20,316
2013-03-21,357
2013-03-22,330
2013-03-23,316
2013-03-24,319
2013-03-25,176
2013-03-26,368
2013-03-27,327
2013-03-28,331
2013-03-29,245
2013-03-30,125
2013-03-31,295
2013-01-04,169
2013-02-04,372
2013-03-04,341
2013-04-04,325
2013-05-04,310
2013-06-04,302
2013-07-04,297
2013-08-04,209
2013-09-04,363
2013-10-04,365
2013-11-04,344
2013-12-04,301
2013-04-13,316
2013-04-14,344
2013-04-15,176
2013-04-16,367
2013-04-17,310
2013-04-18,350
2013-04-19,326
2013-04-20,285
2013-04-21,311
2013-04-22,167
2013-04-23,350
2013-04-24,307
2013-04-25,313
2013-04-26,320
2013-04-27,269
2013-04-28,278
2013-04-29,162
2013-04-30,332
2013-01-05,327
2013-02-05,313
2013-03-05,272
2013-04-05,274
2013-05-05,309
2013-06-05,163
2013-07-05,335
2013-08-05,288
2013-09-05,335
2013-10-05,301
2013-11-05,257
2013-12-05,271
2013-05-13,171
2013-05-14,357
2013-05-15,285
2013-05-16,317
2013-05-17,294
2013-05-18,266
2013-05-19,333
2013-05-20,158
2013-05-21,320
2013-05-22,334
2013-05-23,313
2013-05-24,393
2013-05-25,339
2013-05-26,318
2013-05-27,196
2013-05-28,333
2013-05-29,368
2013-05-30,291
2013-05-31,283
2013-01-06,303
2013-02-06,375
2013-03-06,154
2013-04-06,314
2013-05-06,302
2013-06-06,308
2013-07-06,270
2013-08-06,257
2013-09-06,337
2013-10-06,153
2013-11-06,312
2013-12-06,304
2013-06-13,263
2013-06-14,276
2013-06-15,280
2013-06-16,262
2013-06-17,168
2013-06-18,371
2013-06-19,322
2013-06-20,306
2013-06-21,291
2013-06-22,278
2013-06-23,312
2013-06-24,164
2013-06-25,323
2013-06-26,257
2013-06-27,169
2013-06-28,224
2013-06-29,289
2013-06-30,241
2013-01-07,160
2013-02-07,324
2013-03-07,304
2013-04-07,302
2013-05-07,290
2013-06-07,262
2013-07-07,300
2013-08-07,166
2013-09-07,300
2013-10-07,325
2013-11-07,369
2013-12-07,294
2013-07-13,269
2013-07-14,324
2013-07-15,200
2013-07-16,384
2013-07-17,295
2013-07-18,265
2013-07-19,249
2013-07-20,241
2013-07-21,290
2013-07-22,166
2013-07-23,288
2013-07-24,267
2013-07-25,400
2013-07-26,281
2013-07-27,254
2013-07-28,276
2013-07-29,242
2013-07-30,440
2013-07-31,404
2013-01-08,289
2013-02-08,328
2013-03-08,282
2013-04-08,250
2013-05-08,352
2013-06-08,394
2013-07-08,366
2013-08-08,263
2013-09-08,216
2013-10-08,142
2013-11-08,102
2013-12-08,278
2013-08-13,311
2013-08-14,325
2013-08-15,276
2013-08-16,308
2013-08-17,323
2013-08-18,163
2013-08-19,308
2013-08-20,347
2013-08-21,416
2013-08-22,355
2013-08-23,308
2013-08-24,325
2013-08-25,213
2013-08-26,331
2013-08-27,320
2013-08-28,305
2013-08-29,308
2013-08-30,306
2013-08-31,324
2013-01-09,211
2013-02-09,341
2013-03-09,328
2013-04-09,312
