tarih;deger;birim
2004-12-31;0,00;Ton
2005-12-31;55.797,00;Ton
2006-12-31;101.090,00;Ton
2007-12-31;102.615,00;Ton
2008-12-31;103.862,00;Ton
2009-12-31;108.580,00;Ton
2010-12-31;106.713,00;Ton
2011-12-31;112.666,00;Ton
2012-12-31;117.271,00;Ton
2013-01-01;442,15;Ton
2013-02-01;387,95;Ton
2013-03-01;366,45;Ton
2013-04-01;347,55;Ton
2013-05-01;344,50;Ton
2013-06-01;334,20;Ton
2013-07-01;205,80;Ton
2013-08-01;387,60;Ton
2013-09-01;377,40;Ton
2013-10-01;380,70;Ton
2013-11-01;319,25;Ton
2013-12-01;345,90;Ton
2013-01-13;338,85;Ton
2013-01-14;190,45;Ton
2013-01-15;374,30;Ton
2013-01-16;335,00;Ton
2013-01-17;312,90;Ton
2013-01-18;312,35;Ton
2013-01-19;312,45;Ton
2013-01-20;340,45;Ton
2013-01-21;220,10;Ton
2013-01-22;411,15;Ton
2013-01-23;368,50;Ton
2013-01-24;382,80;Ton
2013-01-25;363,05;Ton
2013-01-26;331,35;Ton
2013-01-27;313,00;Ton
2013-01-28;205,35;Ton
2013-01-29;382,00;Ton
2013-01-30;271,10;Ton
2013-01-31;204,85;Ton
2013-01-02;361,40;Ton
2013-02-02;305,00;Ton
2013-03-02;302,30;Ton
2013-04-02;171,40;Ton
2013-05-02;379,95;Ton
2013-06-02;374,90;Ton
2013-07-02;332,45;Ton
2013-08-02;297,25;Ton
2013-09-02;298,05;Ton
2013-10-02;319,05;Ton
2013-11-02;168,00;Ton
2013-12-02;379,65;Ton
2013-02-13;339,65;Ton
2013-02-14;369,95;Ton
2013-02-15;335,00;Ton
2013-02-16;315,40;Ton
2013-02-17;297,80;Ton
2013-02-18;161,90;Ton
2013-02-19;378,80;Ton
2013-02-20;397,15;Ton
2013-02-21;360,30;Ton
2013-02-22;314,55;Ton
2013-02-23;315,25;Ton
2013-02-24;296,70;Ton
2013-02-25;167,60;Ton
2013-02-26;381,45;Ton
2013-02-27;374,00;Ton
2013-02-28;508,40;Ton
2013-01-03;342,60;Ton
2013-02-03;317,50;Ton
2013-03-03;315,40;Ton
2013-04-03;219,10;Ton
2013-05-03;409,85;Ton
2013-06-03;385,15;Ton
2013-07-03;382,30;Ton
2013-08-03;347,65;Ton
2013-09-03;326,60;Ton
2013-10-03;340,05;Ton
2013-11-03;203,40;Ton
2013-12-03;392,75;Ton
2013-03-13;363,80;Ton
2013-03-14;306,45;Ton
2013-03-15;334,35;Ton
2013-03-16;317,10;Ton
2013-03-17;321,50;Ton
