tarih,toplanan atik miktari (Ton)
2013-01-01,442
2013-02-01,387
2013-03-01,366
2013-04-01,347
2013-05-01,344
2013-06-01,334
2013-07-01,205
2013-08-01,387
2013-09-01,377
2013-10-01,380
2013-11-01,319
2013-12-01,345
2013-01-13,338
2013-01-14,190
2013-01-15,374
2013-01-16,335
2013-01-17,312
2013-01-18,312
2013-01-19,312
2013-01-20,340
2013-01-21,220
2013-01-22,411
2013-01-23,368
2013-01-24,382
2013-01-25,363
2013-01-26,331
2013-01-27,313
2013-01-28,205
2013-01-29,382
2013-01-30,271
2013-01-31,204
2013-01-02,361
2013-02-02,305
2013-03-02,302
2013-04-02,171
2013-05-02,379
2013-06-02,374
2013-07-02,332
2013-08-02,297
2013-09-02,298
2013-10-02,319
2013-11-02,168
2013-12-02,379
2013-02-13,339
2013-02-14,369
2013-02-15,335
2013-02-16,315
2013-02-17,297
2013-02-18,161
2013-02-19,378
2013-02-20,397
2013-02-21,360
2013-02-22,314
2013-02-23,315
2013-02-24,296
2013-02-25,167
2013-02-26,381
2013-02-27,374
2013-02-28,508
2013-01-03,342
2013-02-03,317
2013-03-03,315
2013-04-03,219
2013-05-03,409
2013-06-03,385
2013-07-03,382
2013-08-03,347
2013-09-03,326
2013-10-03,340
2013-11-03,203
2013-12-03,392
2013-03-13,363
2013-03-14,306
2013-03-15,334
2013-03-16,317
2013-03-17,321
2013-03-18,215
2013-03-19,394
2013-03-20,384
2013-03-21,350
2013-03-22,360
2013-03-23,284
2013-03-24,326
2013-03-25,189
2013-03-26,389
2013-03-27,377
2013-03-28,361
2013-03-29,243
2013-03-30,194
2013-03-31,314
2013-01-04,210
2013-02-04,384
2013-03-04,355
2013-04-04,361
2013-05-04,349
2013-06-04,345
2013-07-04,303
2013-08-04,195
2013-09-04,423
2013-10-04,386
2013-11-04,347
2013-12-04,332
2013-04-13,308
2013-04-14,351
2013-04-15,209
2013-04-16,382
2013-04-17,381
2013-04-18,342
2013-04-19,321
2013-04-20,318
2013-04-21,315
2013-04-22,222
2013-04-23,399
2013-04-24,359
2013-04-25,369
2013-04-26,345
2013-04-27,344
2013-04-28,294
2013-04-29,220
2013-04-30,397
2013-01-05,345
2013-02-05,406
2013-03-05,278
2013-04-05,258
2013-05-05,239
2013-06-05,224
2013-07-05,321
2013-08-05,282
2013-09-05,363
2013-10-05,328
2013-11-05,306
2013-12-05,302
2013-05-13,205
2013-05-14,374
2013-05-15,332
2013-05-16,314
2013-05-17,316
2013-05-18,297
2013-05-19,287
2013-05-20,166
2013-05-21,346
2013-05-22,297
2013-05-23,293
2013-05-24,308
2013-05-25,300
2013-05-26,309
2013-05-27,192
2013-05-28,386
2013-05-29,357
2013-05-30,351
2013-05-31,296
2013-01-06,298
2013-02-06,275
2013-03-06,213
2013-04-06,349
2013-05-06,334
2013-06-06,302
2013-07-06,285
2013-08-06,296
2013-09-06,292
2013-10-06,194
2013-11-06,398
2013-12-06,330
2013-06-13,298
2013-06-14,284
2013-06-15,297
2013-06-16,299
2013-06-17,184
2013-06-18,376
2013-06-19,356
2013-06-20,323
2013-06-21,283
2013-06-22,284
2013-06-23,304
2013-06-24,181
2013-06-25,333
2013-06-26,328
2013-06-27,319
2013-06-28,260
2013-06-29,274
2013-06-30,269
2013-01-07,203
2013-02-07,361
2013-03-07,299
2013-04-07,294
2013-05-07,327
2013-06-07,303
2013-07-07,266
2013-08-07,205
2013-09-07,371
2013-10-07,348
2013-11-07,352
2013-12-07,339
2013-07-13,278
2013-07-14,331
2013-07-15,201
2013-07-16,400
2013-07-17,360
2013-07-18,267
2013-07-19,287
2013-07-20,300
2013-07-21,187
2013-07-22,175
2013-07-23,346
2013-07-24,333
2013-07-25,301
2013-07-26,300
2013-07-27,268
2013-07-28,299
2013-07-29,165
2013-07-30,338
2013-07-31,270
2013-01-08,271
2013-02-08,263
2013-03-08,283
2013-04-08,159
2013-05-08,347
2013-06-08,369
2013-07-08,381
2013-08-08,340
2013-09-08,190
2013-10-08,177
2013-11-08,106
2013-12-08,299
2013-08-13,280
2013-08-14,292
2013-08-15,303
2013-08-16,300
2013-08-17,332
2013-08-18,174
2013-08-19,394
2013-08-20,335
2013-08-21,307
2013-08-22,345
2013-08-23,283
2013-08-24,313
2013-08-25,194
2013-08-26,362
2013-08-27,364
2013-08-28,317
2013-08-29,315
2013-08-30,312
2013-08-31,329
2013-01-09,200
2013-02-09,416
2013-03-09,363
2013-04-09,351
2013-05-09,326
2013-06-09,334
2013-07-09,293
2013-08-09,178
2013-09-09,405
2013-10-09,365
2013-11-09,337
2013-12-09,310
2013-09-13,305
2013-09-14,325
2013-09-15,185
2013-09-16,391
2013-09-17,356
2013-09-18,306
2013-09-19,329
2013-09-20,308
2013-09-21,311
2013-09-22,180
2013-09-23,428
2013-09-24,376
2013-09-25,323
2013-09-26,318
2013-09-27,313
2013-09-28,316
2013-09-29,161
2013-09-30,388
2013-01-10,376
2013-02-10,327
2013-03-10,274
2013-04-10,304
2013-05-10,311
2013-06-10,177
2013-07-10,391
2013-08-10,361
2013-09-10,349
2013-10-10,369
2013-11-10,355
2013-12-10,353
2013-10-13,234
2013-10-14,442
2013-10-15,387
2013-10-16,576
2013-10-17,419
2013-10-18,300
2013-10-19,313
2013-10-20,185
2013-10-21,404
2013-10-22,417
2013-10-23,356
2013-10-24,355
2013-10-25,335
2013-10-26,340
2013-10-27,216
2013-10-28,414
2013-10-29,370
2013-10-30,344
2013-10-31,329
2013-01-11,310
2013-02-11,318
2013-03-11,179
