tarih,toplanan atik miktari (Ton)
2013-01-01,554
2013-02-01,594
2013-03-01,557
2013-04-01,497
2013-05-01,559
2013-06-01,551
2013-07-01,537
2013-08-01,582
2013-09-01,580
2013-10-01,547
2013-11-01,518
2013-12-01,522
2013-01-13,536
2013-01-14,523
2013-01-15,566
2013-01-16,510
2013-01-17,437
2013-01-18,491
2013-01-19,510
2013-01-20,541
2013-01-21,578
2013-01-22,603
2013-01-23,554
2013-01-24,482
2013-01-25,574
2013-01-26,539
2013-01-27,520
2013-01-28,565
2013-01-29,599
2013-01-30,472
2013-01-31,419
2013-01-02,494
2013-02-02,508
2013-03-02,529
2013-04-02,537
2013-05-02,554
2013-06-02,552
2013-07-02,538
2013-08-02,449
2013-09-02,450
2013-10-02,494
2013-11-02,486
2013-12-02,574
2013-02-13,550
2013-02-14,501
2013-02-15,514
2013-02-16,490
2013-02-17,497
2013-02-18,538
2013-02-19,562
2013-02-20,545
2013-02-21,519
2013-02-22,525
2013-02-23,488
2013-02-24,499
2013-02-25,509
2013-02-26,560
2013-02-27,526
2013-02-28,586
2013-01-03,546
2013-02-03,514
2013-03-03,486
2013-04-03,538
2013-05-03,557
2013-06-03,558
2013-07-03,518
2013-08-03,518
2013-09-03,510
2013-10-03,520
2013-11-03,552
2013-12-03,575
2013-03-13,550
2013-03-14,513
2013-03-15,517
2013-03-16,582
2013-03-17,584
2013-03-18,539
2013-03-19,570
2013-03-20,570
2013-03-21,533
2013-03-22,620
2013-03-23,506
2013-03-24,526
2013-03-25,563
2013-03-26,561
2013-03-27,547
2013-03-28,495
2013-03-29,454
2013-03-30,456
2013-03-31,469
2013-01-04,531
2013-02-04,515
2013-03-04,590
2013-04-04,514
2013-05-04,500
2013-06-04,456
2013-07-04,520
2013-08-04,507
2013-09-04,555
2013-10-04,558
2013-11-04,519
2013-12-04,476
2013-04-13,520
2013-04-14,585
2013-04-15,524
2013-04-16,557
2013-04-17,526
2013-04-18,486
2013-04-19,507
2013-04-20,477
2013-04-21,500
2013-04-22,545
2013-04-23,514
2013-04-24,511
2013-04-25,475
2013-04-26,578
2013-04-27,461
2013-04-28,560
2013-04-29,542
2013-04-30,594
2013-01-05,529
2013-02-05,505
2013-03-05,553
2013-04-05,534
2013-05-05,499
2013-06-05,552
2013-07-05,560
2013-08-05,524
2013-09-05,524
2013-10-05,531
2013-11-05,493
2013-12-05,502
2013-05-13,510
2013-05-14,510
2013-05-15,504
2013-05-16,481
2013-05-17,466
2013-05-18,522
2013-05-19,528
2013-05-20,484
2013-05-21,505
2013-05-22,566
2013-05-23,566
2013-05-24,501
2013-05-25,498
2013-05-26,510
2013-05-27,575
2013-05-28,541
2013-05-29,591
2013-05-30,564
2013-05-31,607
2013-01-06,510
2013-02-06,513
2013-03-06,535
2013-04-06,538
2013-05-06,548
2013-06-06,546
2013-07-06,527
2013-08-06,541
2013-09-06,512
2013-10-06,555
2013-11-06,540
2013-12-06,570
2013-06-13,555
2013-06-14,567
2013-06-15,525
2013-06-16,512
2013-06-17,468
2013-06-18,532
2013-06-19,611
2013-06-20,548
2013-06-21,510
2013-06-22,491
2013-06-23,505
2013-06-24,483
2013-06-25,487
2013-06-26,524
2013-06-27,552
2013-06-28,547
2013-06-29,468
2013-06-30,515
2013-01-07,486
2013-02-07,459
2013-03-07,533
2013-04-07,544
2013-05-07,562
2013-06-07,609
2013-07-07,529
2013-08-07,564
2013-09-07,538
2013-10-07,594
2013-11-07,563
2013-12-07,576
2013-07-13,525
2013-07-14,551
2013-07-15,552
2013-07-16,573
2013-07-17,565
