tarih;deger;birim
31.12.2004;42.282.067,00;M3
31.12.2005;41.561.123,00;M3
31.12.2006;44.170.976,00;M3
31.12.2007;41.617.645,00;M3
31.12.2008;43.224.677,00;M3
31.12.2009;44.286.834,00;M3
31.12.2010;46.613.468,00;M3
31.12.2011;48.932.583,00;M3
31.12.2012;52.493.964,00;M3
31.01.2013;3.634.350,00;M3
28.02.2013;3.144.191,00;M3
31.03.2013;3.247.529,00;M3
30.04.2013;3.667.498,00;M3
31.05.2013;4.384.006,00;M3
30.06.2013;5.271.012,00;M3
31.07.2013;5.703.975,00;M3
31.08.2013;5.736.592,00;M3
30.09.2013;6.020.823,00;M3
31.10.2013;4.888.323,00;M3
30.11.2013;4.294.872,00;M3
31.12.2013;4.192.621,00;M3
31.01.2014;4.005.954,00;M3
28.02.2014;3.600.819,00;M3
31.03.2014;3.536.253,00;M3
30.04.2014;3.892.665,00;M3
31.05.2014;4.668.712,00;M3
30.06.2014;5.367.461,00;M3
31.07.2014;5.598.721,00;M3
31.08.2014;7.087.594,00;M3
30.09.2014;7.115.467,00;M3
31.10.2014;6.175.927,00;M3
30.11.2014;4.151.074,00;M3
31.12.2014;4.402.062,00;M3
31.01.2015;4.470.617,00;M3
28.02.2015;3.653.359,00;M3
31.03.2015;4.225.408,00;M3
30.04.2015;4.372.460,00;M3
31.05.2015;4.717.954,00;M3
30.06.2015;5.313.677,00;M3
31.07.2015;6.365.256,00;M3
31.08.2015;6.866.351,00;M3
30.09.2015;6.574.520,00;M3
31.10.2015;5.877.232,00;M3
30.11.2015;4.918.015,00;M3
31.12.2015;5.467.469,00;M3
31.01.2016;4.308.952,00;M3
29.02.2016;4.434.613,00;M3
31.03.2016;4.524.191,00;M3
30.04.2016;3.874.779,00;M3
31.05.2016;5.293.558,00;M3
30.06.2016;6.186.508,00;M3
31.07.2016;7.055.498,00;M3
31.08.2016;6.170.929,00;M3
30.09.2016;7.427.738,00;M3
31.10.2016;5.633.321,00;M3
30.11.2016;5.059.648,00;M3
31.12.2016;4.849.162,00;M3
31.01.2017;8.127.532,00;M3
28.02.2017;11.840.411,00;M3
31.03.2017;6.489.441,00;M3
30.04.2017;8.233.902,00;M3
31.05.2017;10.923.432,00;M3
30.06.2017;11.695.008,00;M3
31.07.2017;13.400.669,00;M3
31.08.2017;13.807.510,00;M3
30.09.2017;15.308.013,00;M3
31.10.2017;11.800.743,00;M3
30.11.2017;10.485.549,00;M3
31.12.2017;10.614.113,00;M3
31.01.2018;8.580.209,00;M3
28.02.2018;8.262.498,00;M3
31.03.2018;8.460.891,00;M3
30.04.2018;9.196.251,00;M3
