tarih,tuketilen su miktari (m3)
2013-01-31,3634350
2013-02-28,3144191
2013-03-31,3247529
2013-04-30,3667498
2013-05-31,4384006
2013-06-30,5271012
2013-07-31,5703975
2013-08-31,5736592
2013-09-30,6020823
2013-10-31,4888323
2013-11-30,4294872
2013-12-31,4192621
2014-01-31,4005954
2014-02-28,3600819
2014-03-31,3536253
2014-04-30,3892665
2014-05-31,4668712
2014-06-30,5367461
2014-07-31,5598721
2014-08-31,7087594
2014-09-30,7115467
2014-10-31,6175927
2014-11-30,4151074
2014-12-31,4402062
2015-01-31,4470617
2015-02-28,3653359
2015-03-31,4225408
2015-04-30,4372460
2015-05-31,4717954
2015-06-30,5313677
2015-07-31,6365256
2015-08-31,6866351
2015-09-30,6574520
2015-10-31,5877232
2015-11-30,4918015
2015-12-31,5467469
2016-01-31,4308952
2016-02-29,4434613
2016-03-31,4524191
2016-04-30,3874779
2016-05-31,5293558
2016-06-30,6186508
2016-07-31,7055498
2016-08-31,6170929
2016-09-30,7427738
2016-10-31,5633321
2016-11-30,5059648
2016-12-31,4849162
2017-01-31,8127532
2017-02-28,11840411
2017-03-31,6489441
2017-04-30,8233902
2017-05-31,10923432
2017-06-30,11695008
2017-07-31,13400669
2017-08-31,13807510
2017-09-30,15308013
2017-10-31,11800743
2017-11-30,10485549
2017-12-31,10614113
2018-01-31,8580209
2018-02-28,8262498
2018-03-31,8460891
2018-04-30,9196251
