yıl;ay;kart_tipi;kart_kullanim_sayisi
2019;ocak;65 YAŞ ÜSTÜ;510326
2019;ocak;DİĞER;370107
2019;ocak;BASIN;7670
2019;ocak;ENGELLİ;79
2019;ocak;GÖRME ENGELLİ;1434
2019;ocak;GÖRME ENGELLİ REFAKATLİ;610
2019;ocak;İNDİRİMLİ;2824180
2019;ocak;KAMU;2840
2019;ocak;MUHTAR;1685
2019;ocak;SOSYAL KART;34589
2019;ocak;TAM ABONMAN;498496
2019;ocak;TAM KART;2627574
2019;subat;65 YAŞ ÜSTÜ;533000
2019;subat;DİĞER;361528
2019;subat;BASIN;6625
2019;subat;ENGELLİ;50
2019;subat;GÖRME ENGELLİ;1524
2019;subat;GÖRME ENGELLİ REFAKATLİ;477
2019;subat;İNDİRİMLİ;3165120
2019;subat;KAMU;3015
2019;subat;MUHTAR;1604
2019;subat;SOSYAL KART;41026
2019;subat;TAM ABONMAN;457482
2019;subat;TAM KART;2430928
2019;mart;65 YAŞ ÜSTÜ;592984
2019;mart;DİĞER;401322
2019;mart;BASIN;6595
2019;mart;ENGELLİ;88
2019;mart;GÖRME ENGELLİ;1737
2019;mart;GÖRME ENGELLİ REFAKATLİ;740
2019;mart;İNDİRİMLİ;4053522
2019;mart;KAMU;3063
2019;mart;MUHTAR;1404
2019;mart;SOSYAL KART;46098
2019;mart;TAM ABONMAN;509615
2019;mart;TAM KART;2709623
2019;nisan;65 YAŞ ÜSTÜ;596643
2019;nisan;DİĞER;389004
2019;nisan;BASIN;6516
2019;nisan;ENGELLİ;91
2019;nisan;GÖRME ENGELLİ;1640
2019;nisan;GÖRME ENGELLİ REFAKATLİ;780
2019;nisan;İNDİRİMLİ;3820900
2019;nisan;KAMU;3296
2019;nisan;MUHTAR;1092
2019;nisan;SOSYAL KART;45367
2019;nisan;TAM ABONMAN;497945
2019;nisan;TAM KART;2708863
2019;mayis;65 YAŞ ÜSTÜ;588511
2019;mayis;DİĞER;391088
2019;mayis;BASIN;6108
2019;mayis;ENGELLİ;69
2019;mayis;GÖRME ENGELLİ;1816
2019;mayis;GÖRME ENGELLİ REFAKATLİ;833
2019;mayis;İNDİRİMLİ;3562559
2019;mayis;KAMU;3271
2019;mayis;MUHTAR;644
2019;mayis;SOSYAL KART;46773
2019;mayis;TAM ABONMAN;468292
2019;mayis;TAM KART;2510068
2019;haziran;65 YAŞ ÜSTÜ;501989
2019;haziran;DİĞER;298989
2019;haziran;BASIN;4900
2019;haziran;ENGELLİ;71
2019;haziran;GÖRME ENGELLİ;1530
2019;haziran;GÖRME ENGELLİ REFAKATLİ;539
2019;haziran;İNDİRİMLİ;1937209
2019;haziran;KAMU;2243
2019;haziran;MUHTAR;489
2019;haziran;SOSYAL KART;38534
2019;haziran;TAM ABONMAN;376789
2019;haziran;TAM KART;2366108
2019;temmuz;65 YAŞ ÜSTÜ;574263
2019;temmuz;DİĞER;340161
2019;temmuz;BASIN;5769
2019;temmuz;ENGELLİ;105
2019;temmuz;GÖRME ENGELLİ;1737
2019;temmuz;GÖRME ENGELLİ REFAKATLİ;957
2019;temmuz;İNDİRİMLİ;1711824
2019;temmuz;KAMU;2818
2019;temmuz;MUHTAR;614
2019;temmuz;SOSYAL KART;44244
2019;temmuz;TAM ABONMAN;419000
2019;temmuz;TAM KART;2688682
2019;agustos;65 YAŞ ÜSTÜ;532539
2019;agustos;DİĞER;280711
2019;agustos;BASIN;5394
2019;agustos;ENGELLİ;108
2019;agustos;GÖRME ENGELLİ;1644
2019;agustos;GÖRME ENGELLİ REFAKATLİ;953
2019;agustos;İNDİRİMLİ;1338363
2019;agustos;KAMU;1972
2019;agustos;MUHTAR;512
2019;agustos;SOSYAL KART;42320
2019;agustos;TAM ABONMAN;360386
2019;agustos;TAM KART;2466899
2019;eylul;65 YAŞ ÜSTÜ;574393
2019;eylul;DİĞER;318637
2019;eylul;BASIN;6039
2019;eylul;ENGELLİ;74
2019;eylul;GÖRME ENGELLİ;2075
2019;eylul;GÖRME ENGELLİ REFAKATLİ;938
2019;eylul;İNDİRİMLİ;2670932
2019;eylul;KAMU;2742
2019;eylul;MUHTAR;794
2019;eylul;SOSYAL KART;45990
2019;eylul;TAM ABONMAN;416833
2019;eylul;TAM KART;2882840
2019;ekim;65 YAŞ ÜSTÜ;625268
2019;ekim;DİĞER;374158
2019;ekim;BASIN;6583
2019;ekim;ENGELLİ;53
2019;ekim;GÖRME ENGELLİ;2456
2019;ekim;GÖRME ENGELLİ REFAKATLİ;1105
2019;ekim;İNDİRİMLİ;4447646
2019;ekim;KAMU;3062
2019;ekim;MUHTAR;832
2019;ekim;SOSYAL KART;45838
2019;ekim;TAM ABONMAN;470919
2019;ekim;TAM KART;3138727
2019;kasim;65 YAŞ ÜSTÜ;601665
2019;kasim;DİĞER;376120
2019;kasim;BASIN;6276
2019;kasim;ENGELLİ;79
2019;kasim;GÖRME ENGELLİ;2540
2019;kasim;GÖRME ENGELLİ REFAKATLİ;1240
2019;kasim;İNDİRİMLİ;3986970
2019;kasim;KAMU;2819
2019;kasim;MUHTAR;885
2019;kasim;SOSYAL KART;45667
2019;kasim;TAM ABONMAN;462641
2019;kasim;TAM KART;2979240
2019;aralik;65 YAŞ ÜSTÜ;556726
2019;aralik;DİĞER;393859
2019;aralik;BASIN;6489
2019;aralik;ENGELLİ;75
2019;aralik;GÖRME ENGELLİ;2400
2019;aralik;GÖRME ENGELLİ REFAKATLİ;1274
2019;aralik;İNDİRİMLİ;4298733
2019;aralik;KAMU;3087
2019;aralik;MUHTAR;929
2019;aralik;SOSYAL KART;48185
2019;aralik;TAM ABONMAN;484360
2019;aralik;TAM KART;2927405
2020;ocak;65 YAŞ ÜSTÜ;556929
2020;ocak;DİĞER;367864
2020;ocak;BASIN;6381
2020;ocak;ENGELLİ;1341
2020;ocak;ENGELLİ REFAKATLİ;48
2020;ocak;GÖRME ENGELLİ;2295
2020;ocak;GÖRME ENGELLİ REFAKATLİ;1167
2020;ocak;İNDİRİMLİ;3043430
2020;ocak;KAMU;2680
2020;ocak;MUHTAR;820
2020;ocak;SOSYAL KART;47935
2020;ocak;TAM ABONMAN;452380
2020;ocak;TAM KART;2697160
2020;subat;65 YAŞ ÜSTÜ;555676
2020;subat;DİĞER;353637
2020;subat;BASIN;6173
2020;subat;ENGELLİ;3255
2020;subat;ENGELLİ REFAKATLİ;182
2020;subat;GÖRME ENGELLİ;1954
2020;subat;GÖRME ENGELLİ REFAKATLİ;1030
2020;subat;İNDİRİMLİ;3555824
2020;subat;KAMU;2859
2020;subat;MUHTAR;847
2020;subat;SOSYAL KART;48897
2020;subat;TAM ABONMAN;407506
2020;subat;TAM KART;2495617
2020;mart;65 YAŞ ÜSTÜ;352469
2020;mart;DİĞER;280119
2020;mart;BASIN;4812
2020;mart;ENGELLİ;3803
2020;mart;ENGELLİ REFAKATLİ;246
2020;mart;GÖRME ENGELLİ;1490
2020;mart;GÖRME ENGELLİ REFAKATLİ;702
2020;mart;İNDİRİMLİ;2320656
2020;mart;KAMU;2053
2020;mart;MUHTAR;574
2020;mart;SOSYAL KART;40347
2020;mart;TAM ABONMAN;320906
2020;mart;TAM KART;1844638
2020;nisan;65 YAŞ ÜSTÜ;4704
2020;nisan;DİĞER;87205
2020;nisan;BASIN;1397
2020;nisan;ENGELLİ;1425
2020;nisan;ENGELLİ REFAKATLİ;43
2020;nisan;GÖRME ENGELLİ;421
2020;nisan;GÖRME ENGELLİ REFAKATLİ;168
2020;nisan;İNDİRİMLİ;131600
2020;nisan;KAMU;598
2020;nisan;MUHTAR;108
2020;nisan;SOSYAL KART;19736
2020;nisan;TAM ABONMAN;101178
2020;nisan;TAM KART;519960
2020;mayis;65 YAŞ ÜSTÜ;6455
2020;mayis;DİĞER;81141
2020;mayis;BASIN;1128
2020;mayis;ENGELLİ;1441
