ilceler;elk._kontak;lpg_d.gaz_vb.;ocak_sob._kalo._kaz.;baca_tut.;sig._ve_kibr.;akary.;pat._madd.;yıld._dus.;sabotaj;diger;anlasılamadı;tplm
SELÇUKLU;85;6;12;15;730;11;2;0;21;82;4;968
MERAM;84;6;38;12;502;7;3;1;12;44;6;715
KARATAY;90;6;27;10;802;5;0;0;21;56;10;1027
SANCAK;0;0;0;0;0;0;0;0;0;0;0;0
AKÖREN;6;0;0;2;19;0;0;1;0;45;2;75
AKŞEHİR;33;4;1;19;5;0;0;2;5;459;1;529
ALTINEKİN;13;0;3;1;24;0;0;0;0;46;0;87
BEYŞEHİR;4;1;2;7;10;0;0;0;2;353;225;604
BOZKIR;1;0;1;0;4;0;0;0;0;73;0;79
CİHANBEYLİ;5;0;2;2;0;1;0;0;4;183;0;197
ÇELTİK;0;0;0;2;32;0;0;0;0;56;0;90
ÇUMRA;37;3;10;4;116;1;0;0;3;125;1;300
DERBENT;0;0;0;0;0;0;0;0;0;24;0;24
DEREBUCAK;0;2;0;0;12;0;0;0;0;3;2;19
DOĞANHİSAR;3;1;7;5;154;0;0;0;1;14;0;185
EMİRGAZİ;22;0;1;2;41;0;0;0;0;18;7;91
EREĞLİ;41;2;6;13;237;1;4;1;0;146;0;451
GÜNEYSINIR;2;0;4;1;30;0;5;0;0;9;14;65
HADİM;0;0;2;3;0;0;0;0;0;42;0;47
HÜYÜK;1;0;0;2;0;0;0;0;5;136;118;262
ILGIN;18;1;16;10;163;0;1;0;6;16;1;232
KADINHANI;39;0;2;3;191;0;0;1;3;8;0;247
KARAPINAR;93;0;8;3;138;2;0;0;23;43;0;310
KULU;0;0;0;1;0;0;0;0;1;387;0;389
SARAYÖNÜ;36;0;5;3;46;0;0;1;19;141;0;251
SEYDİŞEHİR;0;0;0;3;0;0;0;0;0;390;0;393
TAŞKENT;1;0;2;0;12;0;0;0;0;15;1;31
YALIHÜYÜK;0;0;0;1;1;1;0;0;0;85;0;88
YUNAK;10;1;0;2;4;0;0;0;1;111;35;164
